_id,doi,language,method,method2,measurement,validation
1,10.1002/jae.2550,en,key,Rule-based,theme,no validation attempt
2,10.1080/1369118X.2015.1092565,en,sna,Unsupervised,theme,discussion
3,10.1080/1369118X.2015.1092565,en,sna,Unsupervised,frame,discussion
4,10.1080/1369118X.2015.1092565,en,sna,Unsupervised,other,discussion
5,10.1080/1369118X.2015.1093526,nl,man,Manual,theme,no validation attempt
6,10.1080/1369118X.2015.1093526,nl,nlp,Rule-based,theme,no validation attempt
7,10.1080/1369118X.2016.1139615,en,lda,Unsupervised,theme,discussion
8,10.1080/1369118X.2016.1167228,en,sml,Supervised,theme,discussion & demonstration
9,10.1080/1369118X.2016.1168469,pt,man,Manual,quali,discussion
10,10.1080/1369118X.2016.1168469,pt,man,Manual,frame,discussion
11,10.1080/1369118X.2016.1168469,pt,man,Manual,other,discussion
12,10.1080/1369118X.2016.1168469,pt,sna,Unsupervised,quali,discussion
13,10.1080/1369118X.2016.1168469,pt,sna,Unsupervised,frame,discussion
14,10.1080/1369118X.2016.1168469,pt,sna,Unsupervised,other,discussion
15,10.1080/1369118X.2016.1182197,en,sml,Supervised,theme,discussion
16,10.1080/1369118X.2016.1182197,en,sml,Supervised,senti,discussion
17,10.1080/1369118X.2016.1182197,en,sml,Supervised,quali,discussion
18,10.1080/1369118X.2016.1186717,en,sof,Rule-based,forma,no validation attempt
19,10.1080/1369118X.2016.1186717,en,sof,Rule-based,const,no validation attempt
20,10.1080/1369118X.2016.1186717,en,sof,Rule-based,quali,no validation attempt
21,10.1080/1369118X.2016.1253762,en,nlp,Rule-based,theme,no validation attempt
22,10.1080/1369118X.2016.1266374,en,sml,Supervised,const,discussion & demonstration
23,10.1080/1369118X.2017.1301515,no,lnk,Rule-based,forma,no validation attempt
24,10.1080/1369118X.2017.1346136,en,lnk,Rule-based,other,no validation attempt
25,10.1080/1369118X.2017.1386705,en,man,Manual,frame,discussion
26,10.1080/1369118X.2017.1386705,en,dct,Rule-based,frame,discussion
27,10.1080/1369118X.2017.1388427,en,man,Manual,theme,discussion
28,10.1080/1369118X.2017.1388427,en,man,Manual,senti,discussion
29,10.1080/1369118X.2017.1388427,en,lnk,Rule-based,theme,discussion
30,10.1080/1369118X.2017.1388427,en,lnk,Rule-based,senti,discussion
31,10.1080/1369118X.2017.1388427,en,nlp,Rule-based,theme,discussion
32,10.1080/1369118X.2017.1388427,en,nlp,Rule-based,senti,discussion
33,10.1080/1369118X.2018.1433224,en,lnk,Rule-based,quali,discussion & demonstration
34,10.1080/1369118X.2018.1433224,en,lnk,Rule-based,pragm,discussion & demonstration
35,10.1080/1369118X.2018.1433224,en,sml,Supervised,quali,discussion & demonstration
36,10.1080/1369118X.2018.1433224,en,sml,Supervised,pragm,discussion & demonstration
37,10.1080/1369118X.2018.1444076,nl,nlp,Rule-based,senti,no validation attempt
38,10.1080/1369118X.2018.1444076,nl,nlp,Rule-based,quali,no validation attempt
39,10.1080/1369118X.2018.1444076,nl,nlp,Rule-based,attri,no validation attempt
40,10.1080/1369118X.2018.1444076,nl,key,Rule-based,senti,no validation attempt
41,10.1080/1369118X.2018.1444076,nl,key,Rule-based,quali,no validation attempt
42,10.1080/1369118X.2018.1444076,nl,key,Rule-based,attri,no validation attempt
43,10.1080/1369118X.2018.1444076,nl,lda,Unsupervised,senti,no validation attempt
44,10.1080/1369118X.2018.1444076,nl,lda,Unsupervised,quali,no validation attempt
45,10.1080/1369118X.2018.1444076,nl,lda,Unsupervised,attri,no validation attempt
46,10.1080/1369118X.2018.1468919,he,man,Manual,types,no validation attempt
47,10.1080/1369118X.2018.1468919,he,man,Manual,theme,no validation attempt
48,10.1080/1369118X.2018.1468919,he,lda,Unsupervised,types,no validation attempt
49,10.1080/1369118X.2018.1468919,he,lda,Unsupervised,theme,no validation attempt
50,10.1080/1369118X.2018.1476576,cn,bot,Other,other,no validation attempt
51,10.1080/1369118X.2018.1499793,en,sml,Supervised,senti,discussion & demonstration
52,10.1080/1369118X.2018.1500622,en,dct,Rule-based,const,discussion & demonstration
53,10.1080/1369118X.2018.1555271,it,lnk,Rule-based,attri,no validation attempt
54,10.1080/1369118X.2018.1555271,it,lnk,Rule-based,pragm,no validation attempt
55,10.1080/1369118X.2019.1566484,en,man,Manual,senti,no validation attempt
56,10.1080/1369118X.2019.1566484,en,man,Manual,attri,no validation attempt
57,10.1080/1369118X.2019.1566484,en,sof,Rule-based,senti,no validation attempt
58,10.1080/1369118X.2019.1566484,en,sof,Rule-based,attri,no validation attempt
59,10.1080/1369118X.2019.1566484,en,sml,Supervised,senti,no validation attempt
60,10.1080/1369118X.2019.1566484,en,sml,Supervised,attri,no validation attempt
61,10.1080/1369118X.2020.1716039,en,plg,Unsupervised,quali,discussion
62,10.1080/1369118X.2020.1720770,nl,man,Manual,thing,discussion
63,10.1080/1369118X.2020.1720770,nl,man,Manual,theme,discussion
64,10.1080/1369118X.2020.1720770,nl,lnk,Rule-based,thing,discussion
65,10.1080/1369118X.2020.1720770,nl,lnk,Rule-based,theme,discussion
66,10.1080/1369118X.2020.1776372,cn,man,Manual,senti,discussion
67,10.1080/1369118X.2020.1776372,cn,man,Manual,attri,discussion
68,10.1080/1369118X.2020.1776372,cn,man,Manual,frame,discussion
69,10.1080/1369118X.2020.1776372,cn,sof,Rule-based,senti,discussion
70,10.1080/1369118X.2020.1776372,cn,sof,Rule-based,attri,discussion
