doi,language,method,method2,measurement,validation
10.1002/jae.2550,en,key,Rule-based,theme,no validation attempt
10.1080/1369118X.2015.1092565,en,sna,Unsupervised,theme,validation attempt: discussion
10.1080/1369118X.2015.1092565,en,sna,Unsupervised,frame,validation attempt: discussion
10.1080/1369118X.2015.1092565,en,sna,Unsupervised,other,validation attempt: discussion
10.1080/1369118X.2015.1093526,nl,man,Manual,theme,no validation attempt
10.1080/1369118X.2015.1093526,nl,nlp,Rule-based,theme,no validation attempt
10.1080/1369118X.2016.1139615,en,lda,Unsupervised,theme,validation attempt: discussion
10.1080/1369118X.2016.1167228,en,sml,Supervised,theme,validation attempt: discussion & demonstration
10.1080/1369118X.2016.1168469,pt,man,Manual,quali,validation attempt: discussion
10.1080/1369118X.2016.1168469,pt,man,Manual,frame,validation attempt: discussion
10.1080/1369118X.2016.1168469,pt,man,Manual,other,validation attempt: discussion
10.1080/1369118X.2016.1168469,pt,sna,Unsupervised,quali,validation attempt: discussion
10.1080/1369118X.2016.1168469,pt,sna,Unsupervised,frame,validation attempt: discussion
10.1080/1369118X.2016.1168469,pt,sna,Unsupervised,other,validation attempt: discussion
10.1080/1369118X.2016.1182197,en,sml,Supervised,theme,validation attempt: discussion
10.1080/1369118X.2016.1182197,en,sml,Supervised,senti,validation attempt: discussion
10.1080/1369118X.2016.1182197,en,sml,Supervised,quali,validation attempt: discussion
10.1080/1369118X.2016.1186717,en,sof,Rule-based,forma,no validation attempt
10.1080/1369118X.2016.1186717,en,sof,Rule-based,const,no validation attempt
10.1080/1369118X.2016.1186717,en,sof,Rule-based,quali,no validation attempt
10.1080/1369118X.2016.1253762,en,nlp,Rule-based,theme,no validation attempt
10.1080/1369118X.2016.1266374,en,sml,Supervised,const,validation attempt: discussion & demonstration
10.1080/1369118X.2017.1301515,no,lnk,Rule-based,forma,no validation attempt
10.1080/1369118X.2017.1346136,en,lnk,Rule-based,other,no validation attempt
10.1080/1369118X.2017.1386705,en,man,Manual,frame,validation attempt: discussion
10.1080/1369118X.2017.1386705,en,dct,Rule-based,frame,validation attempt: discussion
10.1080/1369118X.2017.1388427,en,man,Manual,theme,validation attempt: discussion
10.1080/1369118X.2017.1388427,en,man,Manual,senti,validation attempt: discussion
10.1080/1369118X.2017.1388427,en,lnk,Rule-based,theme,validation attempt: discussion
10.1080/1369118X.2017.1388427,en,lnk,Rule-based,senti,validation attempt: discussion
10.1080/1369118X.2017.1388427,en,nlp,Rule-based,theme,validation attempt: discussion
10.1080/1369118X.2017.1388427,en,nlp,Rule-based,senti,validation attempt: discussion
10.1080/1369118X.2018.1433224,en,lnk,Rule-based,quali,validation attempt: discussion & demonstration
10.1080/1369118X.2018.1433224,en,lnk,Rule-based,pragm,validation attempt: discussion & demonstration
10.1080/1369118X.2018.1433224,en,sml,Supervised,quali,validation attempt: discussion & demonstration
10.1080/1369118X.2018.1433224,en,sml,Supervised,pragm,validation attempt: discussion & demonstration
10.1080/1369118X.2018.1444076,nl,nlp,Rule-based,senti,no validation attempt
10.1080/1369118X.2018.1444076,nl,nlp,Rule-based,quali,no validation attempt
10.1080/1369118X.2018.1444076,nl,nlp,Rule-based,attri,no validation attempt
10.1080/1369118X.2018.1444076,nl,key,Rule-based,senti,no validation attempt
